용어,챗봇
자연취락지구,"국토의 계획 및 이용에 관한 법률상 취락지구 중의 하나로 녹지지역 · 관리지역 · 농림지역 또는 자연환경보전지역안의 취락을 정비하기 위하여 필요한 지구로 국토교통부장관, 시 · 도지사 또는 대도시 시장이 지정한다.자연취락지구 내에서는 도시계획조례로 따로 층수를 정하는 건물이외에는 4층 이하의 건물만을 건설 할 수 있으며 단독주택, 1종 근린생활시설, 2종 근린생활시설, 운동시설, 창고, 동물 및 식물관련시설, 교정 및 국반시설, 방송통신시설, 발전 시설 등만 건설 할 수 있다."
공동담보,"동일한 채권을 담보하기 위해 여러 개의 담보물을 제공하는 것 또는 거래당사자 가운데 한 사람이 계약을 위반하여 생긴 손해를 다른 사람이 공동으로 배상하는 담보를 말한다. 예로 갑이 을한테 1억원을 빌리고 주택과 그 토지를 담보로 제공한 것이 공동담보이다. 토지와 건물은 별개의 부동산이기 때문에 토지와 건물을 공동으로 담보로 제공했다는 뜻이다.은행은 대개 대출해주면 건물 하나로도 충분할 것 같은데 토지까지 담보로 잡고 필요하면 다른 여러 개의 부동산을 공동담보로 요구하는데 이것은 대출위험을 줄이기 위해서다. 공동담보를 설정하면 설정된 부동산은 각각 채무액 전체를 담보하며, 물상보증인의 경우 담보로 제공한 부동산을 변제한도로 하여 보증채무를 면제받을 수 있다."
준주거지역,주거기능을 위주로 이를 지원하는 일부 상업기능 및 업무기능을 보완하는 지역을 말한다. 이 용도지역이 낙후되어 도심기능을 회복하거나 도시균형발전을 위해 필요하면 지구단위계획구역 지정을 받아 도시 · 군계획에 반영된다.
트러스구조,"강재(鋼材)나 목재를 삼각형 그물 모양으로 짜서 하중을 지탱시키는 구조를 말한다. 교량이나 지붕처럼 넓은 공간에 걸치는 구조물로 많이 쓰인다. 트러스가 삼각형 단위공간으로 구성되는 이유는, 삼각형 구성은 연결점이 회전단이라 하더라도 사각형 공간일 때 보다 쉽게 변형이 일어나지 않고 안정된 형태를 유지할 수 있기 때문이다."
부당이득반환청구소송,법률상 원인이 없이 타인의 재화나 노무로부터 이익을 얻은 자에게 권리자가 반환을 청구하는 소송을 말한다. 부당이득금 반환 청구소송의 신청서 양식은 대한법률구조공단 사이트(http://www.klac.or.kr)에 청구원인에 따라 다양하게 작성되어 있다.
집합건물,"일반적으로 집합건물의 소유 및 관리에 관한 법률의 적용대상인 건물을 말한다. 집합건물은 동법률의 적용대상인 1동의 건물 중 구조상 구분된 수 개의 부분이 독립한 건물로서 사용될 수 있는 건물을 말한다. 오피스, 아파트형공장, 오피스텔, 아파트, 연립주택, 다세대주택 등 다양하다."
종합합산과세대상,"토지에 대한 재산세 과세대상의 하나로, 과세기준일 현재 납세의무자가 소유하고 있는 토지 중 별도합산과세대상 또는 분리과세대상이 되는 토지를 제외한 토지를 말한다.다만, 다음의 어느 하나에 해당하는 토지는 종합합산과세대상으로 보지 않는다.① 지방세법 또는 관계 법령에 따라 재산세가 비과세되거나 면제되는 토지② 지방세법 또는 다른 법령에 따라 재산세가 경감되는 토지의 경감비율에 해당하는 토지.근거법은 지방세법이다."
브릿지론,"신용도가 낮은 시행사 등이 특정 부동산 개발사업장의 개발자금을 제2금융권에서 높은 이자를 내고 빌려 쓰다가 사업이 진행되면서 자산가치가 높아지고 사업성이 좋아져 리스크가 줄어들게 되면 제1금융권의 낮은 이자의 자금을 차입하게 되는데, 이 때 저축은행 등 제2금융권 차입금을 브릿지론이라 한다.대개 단기 차입금으로 빌려 쓰는 수가 많다. 또한 부동산 PF대출은 공사착공 여부에 따라 공사착공 이전에 이루어지는 브릿지론과 공사착공 이후에 이루어지는 본PF로 구분하기도 한다."
생산녹지지역,"도시 토지 용도는 주거지역, 상업지역, 공업지역 그리고 녹지지역으로 구분한다. 이 녹지지역은 다시 보전녹지지역, 생산녹지지역, 자연녹지지역으로 세분하여 지정하는데 그 중 하나다.주로 농업적인 생산을 위해 개발을 유보할 필요가 있는 지역으로 국토교통부장관, 시 · 도지사, 또는 대도시 시장이 도시 · 군관리계획에 따라 지정한다. 건폐율은 20% 이하이며 용적률은 80% 이하이다.4층 이하의 건축물로 단독주택, 제1종근린생활시설, 유치원 · 초등학교, 노유자시설, 수련시설, 운동장, 농림축산수산업용 창고, 액화석유가스충전소 및 고압가스충전 · 저장소, 동물 및 식물관련시설, 교정 및 국방 · 군사시설, 방송통신시설, 발전시설 등의 시설을 건축할 수 있으며, 도시 · 군 조례로 정하는 4층 이하의 공동주택, 제2종 근린생활시설, 문화 및 집회시설, 판매시설, 의료시설, 학교 등을 설치할 수 있다.근거는 국토의 계획 및 이용에 관한 법률이다."
장기일반민간임대주택,"“장기일반민간임대주택”이란 임대사업자가 공공지원민간임대주택이 아닌 주택을 10년 이상 임대할 목적으로 취득하여 임대하는 민간임대주택(아파트 매입임대주택 제외)을 말한다.종전 민간임대주택은 공공지원과 임대기간에 따라 주택도시기금 등 공공지원을 받아 8년 이상 임대할 목적으로 취득하는 공공지원민간임대주택, 공공지원민간임대주택이 아닌 주택을 10년 이상 임대할 목적으로 취득하여 임대하는 장기일반민간임대주택, 4년 이상 임대할 목적으로 취득하여 임대하는 단기일반민간임대주택 등으로 구분하였다. 그러나 전월세상한제, 임대차 계약갱신요구권 및 임대차신고제 등의 추진과 연계하여 주택임대차 관련 제도 간 정합성 확보를 위하여 기존 제도의 개편이 필요하게 되었다.이에 2020.12.10.부터 전월세상한제, 계약갱신요구권 도입을 통해 일반 임대주택과 차별성이 희박해진 단기민간임대주택과 주택시장 과열요인이 될 수 있는 아파트 장기일반민간매입임대주택 유형은 폐지되었다."
전유부분,"건물의 구분 소유자가 사용수익권을 전용하여 행사하는 부분으로서 구분소유권의 목적인 건물부분을 말한다. 아파트, 오피스 등에서 1동의 건물 중 독립한 주거, 점포, 사무소, 창고 등으로 사용가능하도록 구조상 구분된 부분이다. 구분소유권은 이 전유부분을 대상으로 한 소유권을 말한다.공동주택의 관리상 전유부분은 아래와 같이 구분한다.① 천장, 바닥 및 벽 : 세대 내부의 마감부분과 전용으로 사용하는 벽체는 전용부분이다. 다만, 벽체외부 도장부분은 공용부분이다.② 현관문 및 창 : 문틀 · 문짝과 이에 부수된 시건장치 등의 시설은 전용부분이다. 다만, 현관문의 외부 도장부분은 공용부분이다.③ 배관, 배선 및 닥트와 기타 건물부속 설비 : 천장, 바닥, 벽의 전유부분에 설치되어 있는 부분의 설비 등은 전용부분이다. 다만, 2세대 이상이 공동으로 사용하는 배관 · 배선 등의 시설은 공용부분이다.④ 세대별 전기, 수도, 가스, 급탕 및 중앙난방, 배관, 배선 : 계량기 후의 배관 및 배선은 전용부분이다.계량기는① 관리는 훼손 및 누수 등의 방지를 위하여 당해 입주자 등이 선량한 관리자로서 주의하여 관리할 의무를 진다.② 비용부담은 관리주체가 아닌 비목별 공급자와 특별한 약정이 없는 한 계량기의 교체비용은 당해 입주자가 부담한다.다른 사람과 부동산을 공유하고 있는 경우에 그 공유지분은 독립해서 부동산 경매의 대상이 될 수 있으나 아파트 등 집합건물의 대지사용권은 전유부분과 분리해서 처분할 수 없으므로 특약이 없는 한 그 대지사용권에 관한 공유지분만 경매 될 수 없다. 구분소유자가 둘 이상의 전유부분을 소유한 경우에는 각 전유부분의 처분에 따르는 대지사용권은 전유부분 면적 비율에 따르지만 규약으로 달리 정할 수 있다."
기존주택매입임대,"국가나 지방자치단체의 재정이나 주택도시기금의 자금을 지원받아 기존 주택을 매입하여 국민기초생활 보장법에 따른 수급자 등 저소득층과 청년 및 신혼부부 등에게 공급하여 거주할 수 있도록 기존의 다가구주택 등을 매입하여 저렴하게 임대하는 것을 말하며, 주거권을 실현하기 위한 정부의 정책적 주거지원 제도를 말한다.매입대상은 건축법에 따라 사용승인을 받은 주택으로서 단독주택 · 다중주택 · 다가구주택 · 공동주택(아파트, 다세대주택, 연립주택 등으로 국민주택규모 이하)이다. 매입가격은 공동주택의 경우 감정평가 가격, 분양 가격, 국토교통부의 부동산 실거래 가격, 한국감정원의 주택가격 동향, KB국민은행의 부동산 시세 정보 등을 기초로 매매 당사자 간의 협의로 결정하고, 그 외의 주택을 매입하는 경우 감정평가 가격을 기초로 매매 당사자 간의 협의로 결정한다.매입기준은 건령 15년내의 주택으로서 생활편의성 등 입지여건, 건물 노후정도 등 주택의 상태, 토지형상 등 대지의 상태, 임대가능호수, 채권채무관계 등이다. 신청방법은 사업시행자(LH지역본부, 지방공사)에 신청서(공사소정양식)와 건물 및 토지 등기부등본, 건축물대장(건축물현황도 첨부), 토지대장, 토지이용계획확인서 등을 제출하면 된다.입주대상자는 무주택세대구성원으로서 국민기초생활 보장법에 따른 생계급여 수급자 또는 의료급여 수급자, 여성가족부장관이 정하는 기준에 해당하는 지원대상 한부모가족, 해당 세대의 월평균소득이 전년도 도시근로자 가구당 월평균소득의 50퍼센트 이하인 사람, 긴급복지 지원법에 따라 긴급지원대상자로 선정된 사람, 국가유공자 등 예우 및 지원에 관한 법률에 따른 국가유공자 등 국토교통부장관이 정하는 사람이다.임대조건을 보면 최초 임대보증금 및 월 임대료는 시중 임대료에 대한 감정평가금액의 50% 범위(신혼부부용의 경우 80%)내에서 공공주택사업자가 결정한다. 최초 임대기간은 2년이며 9회까지 재계약(2년단위)이 가능하다. 일반가구는 사업시행자(LH 등)가 지역별로 시 · 군 · 구청, 공사 홈페이지, 게시판, 인터넷, 신문 등을 통해 입주자를 모집할 때 주소지 관할 주민센터에 입주신청서를 작성하고 제출하면 된다.공동생활가정의 운영기관으로 선정 받고자 하는 기관은 도지사 등에게 필요한 주택의 지원을 신청하면 된다. 근거는 공공주택 특별법 시행령, 공공주택 특별법 시행규칙 및 기존주택 매입임대주택 업무처리지침이다."
준공업지역,"국토의 계획 및 이용에 관한 법률상 용도지역중 공업지역의 하나로 경공업 그 밖의 공업을 수용하되 주거기능 · 상업기능 및 업무기능의 보완이 필요한 지역을 말한다.준공업지역 내에 건설할 수 있는 건축물은 공동주택 중 기숙사, 제1종 근린생활시설, 제2종 근린생활시설(단란주점 및 안마시술소는 제외), 판매시설(해당 준공업지역에 소재하는 공장에서 생산되는 제품을 판매하는 시설로 한정함), 운수시설, 의료시설, 교육연구시설, 노유자시설(다만, 주택법 제16조에 따른 사업계획승인의 대상이 되는 노인복지주택은 제외함), 수련시설, 공장으로서 해당용도에 쓰이는 바닥면적의 합계가 5,000제곱미터 미만인 것, 창고시설, 위험물저장 및 처리시설, 자동차 관련 시설, 자원순환 관련시설, 발전시설, 장례식장을 건설 할 수 있으며 도시 · 군계획조례가 정하는 바에 따라 허용되는 건축물인 단독주택, 공동주택(기숙사는 제외함), 제2종 근린생활시설 중 안마시술소, 문화 및 집회시설, 종교시설, 판매시설(해당 준공업지역에 소재하는 공장에서 생산되는 제품을 판매하는 시설은 제외함), 운동시설, 업무시설, 숙박시설, 공장으로서 해당 용도에 쓰이는 바닥면적의 합계가 5,000제곱미터 이상인 것, 동물 및 식물관련시설, 교정 및 국방 · 군사시설, 방송통신시설을 건설 할 수 없다.준공업지역의 건폐율은 70% 이하이며 용적률은 200% 이상 400% 이하이다. 용도지역의 건축 제한 등을 위반할 경우 허가 · 인가 등의 취소, 공사의 중지와 그 밖에 필요한 처분을 하거나 조치를 받을 수 있으며 용도지역에서의 건축물의 용도 · 종류 및 규모 등의 제한을 위반해서 건축물을 건축하면 2년 이하의 징역 또는 2천만원 이하의 벌금에 처해질 수 있다."
